SAMP2	COMMD3	pheno166.2	EXPR_BIN	PHENOTYPE
GTEX-13RTK	34.07	0.0701052932017378	(31.5,37.1]	0.0701052932017378
GTEX-13S86	23.01	0.207487904719137	[17.4,31.5]	0.207487904719137
GTEX-13U4I	46.24	0.228395487252192	(37.1,61.6]	0.228395487252192
GTEX-13VXT	42.12	0.016727539456492	(37.1,61.6]	0.016727539456492
GTEX-13VXU	35.63	0.177870368230608	(31.5,37.1]	0.177870368230608
GTEX-13W46	37.56	0.183250233835978	(37.1,61.6]	0.183250233835978
GTEX-13X6H	32.88	0.157011739914098	(31.5,37.1]	0.157011739914098
GTEX-13X6J	37.03	0.195270698450608	(31.5,37.1]	0.195270698450608
GTEX-13YAN	40.77	0.375319989205653	(37.1,61.6]	0.375319989205653
GTEX-144GL	44.34	0.477762219285872	(37.1,61.6]	0.477762219285872
GTEX-144GM	26.75	0.184191527139956	[17.4,31.5]	0.184191527139956
GTEX-144GO	30.45	0.235449496153987	[17.4,31.5]	0.235449496153987
